procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27273716 7141224 18065240    0    0    63   782 2682    4  1  1 98  0  0  0
 2  0      0 27266244 7141224 18065180    0    0     0     0 1284 2003  0  1 99  0  0  0
 0  0      0 27502984 7141224 17854968    0    0     0  2488 2205 5728  1  0 98  0  0  0
 1  0      0 27440088 7141224 17899096    0    0     0     0 2119 4772  0  2 98  0  0  0
 0  0      0 27497944 7141224 17854652    0    0     0     0 1813 4143  1  1 98  0  0  0
 0  0      0 27499492 7141224 17854652    0    0     0   224  591  787  0  0 100  0  0  0
 1  0      0 27483024 7141224 17854652    0    0     0   832 1735 2822  1  1 98  0  0  0
 0  0      0 27502484 7141224 17854668    0    0     0  2360 1795 4780  1  0 99  0  0  0
 0  0      0 27429352 7141224 17920820    0    0     0     0 2058 4917  1  1 97  0  0  0
 0  0      0 27501584 7141224 17854576    0    0     0     0 1507 3611  1  1 98  0  0  0
 0  0      0 27501852 7141224 17854584    0    0     0     0  616  936  0  0 100  0  0  0
 0  0      0 27516304 7141224 17854596    0    0     0   252 1341 2602  1  1 99  0  0  0
 0  1      0 27519488 7141224 17854624    0    0     0  1408 1090 2864  0  0 99  0  0  0
 0  0      0 27424600 7141224 17919684    0    0     0   928 2387 6542  1  2 97  0  0  0
 1  0      0 27450580 7141224 17899172    0    0     0     0 1635 4042  1  1 98  0  0  0
 0  0      0 27498428 7141224 17854084    0    0     0     0  565  555  0  0 100  0  0  0
 0  0      0 27498032 7141224 17854084    0    0     0   444 1144 2056  0  0 99  0  0  0
 0  0      0 27497780 7141224 17854084    0    0     0     0  494  659  0  0 100  0  0  0
 0  0      0 27453348 7141228 17899052    0    0     0  2376 3364 8885  2  1 97  0  0  0
 0  0      0 27445264 7141228 17899052    0    0     0     0 1567 3867  1  1 98  0  0  0
 0  0      0 27495064 7141228 17853944    0    0     0    92  853  970  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27504704 7141228 17853944    0    0     0    72 1045 1736  0  0 99  0  0  0
 0  0      0 27504704 7141228 17853944    0    0     0     0  542  638  0  0 100  0  0  0
 0  0      0 27453364 7141228 17899032    0    0     0  2396 2947 8561  1  2 97  0  0  0
 0  0      0 27508500 7141228 17853944    0    0     0     4 1343 3788  1  1 98  0  0  0
 0  0      0 27508480 7141228 17853956    0    0     0     0  590  741  0  0 100  0  0  0
 0  0      0 27519316 7141228 17850068    0    0     0     0 1001 2094  0  1 99  0  0  0
 0  0      0 27525492 7141228 17849856    0    0     0   128  426  526  0  0 100  0  0  0
 0  0      0 27432116 7141228 17915972    0    0     0  2460 3090 8736  2  1 96  0  0  0
 0  0      0 27479712 7141228 17850372    0    0     0     0 1205 3362  1  2 98  0  0  0
