label,mode,backend,oci_runtime,timestamp,process_pss_kb,control_plane_pss_kb,overhead_pss_kb_total,controller_pss_kb,ingress_pss_kb,runtime_pss_kb,k3s_control_plane_pss_kb,app_mem_bytes,system_mem_bytes,host_system_cgroups_bytes,mem_available_before_bytes,mem_available_after_bytes,mem_available_delta_bytes
r20260415-fullretest+cri+crun+containerd-rollout-2-post,k1s,cri,crun,20260415-125845,238292,238292,238292,87324,0,150968,0,30134272,0,773939200,16265568256,16280649728,15081472
r20260415-fullretest+cri+crun+containerd-rollout-5-during,k1s,cri,crun,20260415-125926,240661,240661,240661,87737,0,152924,0,75317248,0,773935104,16060235776,16228839424,168603648
r20260415-fullretest+cri+crun+containerd-rollout-5-post,k1s,cri,crun,20260415-125958,236340,236340,236340,83211,0,153129,0,75317248,0,773935104,16212160512,16230481920,18321408
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-idle,k1s,podman,crun,20260415-150735,86014,86014,86014,82779,0,3235,0,0,0,826757120,22942416896,22968717312,26300416
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-pods-1,k1s,podman,crun,20260415-150809,104456,104456,104456,83339,0,21117,0,18964480,0,826494976,22860693504,22935814144,75120640
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-pods-5,k1s,podman,crun,20260415-150843,169778,169778,169778,83524,0,86254,0,93519872,0,826757120,22716166144,22775226368,59060224
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-pods-10,k1s,podman,crun,20260415-150921,251151,251151,251151,83944,0,167207,0,185991168,0,826769408,22302334976,22593314816,290979840
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-rollout-2-during,k1s,podman,crun,20260415-151004,121422,121422,121422,83956,0,37466,0,30187520,0,826494976,22789742592,22889738240,99995648
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-rollout-2-post,k1s,podman,crun,20260415-151036,121373,121373,121373,83952,0,37421,0,30187520,0,826777600,22815477760,22896967680,81489920
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-rollout-5-during,k1s,podman,crun,20260415-151138,218367,218367,218367,83952,0,134415,0,166326272,0,826757120,22493184000,22629662720,136478720
r20260415-nixos-extra-150730+podman+crun+rootless+cg2-rollout-5-post,k1s,podman,crun,20260415-151241,170147,170147,170147,83964,0,86183,0,75460608,0,827031552,22697725952,22802870272,105144320
r20260415-nixos-extra-150730+podman+crun+priv+cg2-idle,k1s,podman,crun,20260415-151338,235093,235093,235093,82660,0,152433,0,0,0,826515456,22884089856,22918639616,34549760
r20260415-nixos-extra-150730+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260415-151420,294116,294116,294116,83238,0,210878,0,19271680,0,826777600,22828986368,22833569792,4583424
r20260415-nixos-extra-150730+podman+crun+priv+cg2-pods-5,k1s,podman,crun,20260415-151514,294135,294135,294135,83430,0,210705,0,92266496,0,826494976,22782115840,22809894912,27779072
r20260415-nixos-extra-150730+podman+crun+priv+cg2-pods-10,k1s,podman,crun,20260415-151639,296941,296941,296941,83730,0,213211,0,186458112,0,826757120,22691487744,22705446912,13959168
r20260415-nixos-extra-150730+podman+crun+priv+cg2-rollout-2-during,k1s,podman,crun,20260415-151747,289709,289709,289709,83738,0,205971,0,30195712,0,826765312,22817472512,22872731648,55259136
r20260415-nixos-extra-150730+podman+crun+priv+cg2-rollout-2-post,k1s,podman,crun,20260415-151824,292975,292975,292975,83746,0,209229,0,30195712,0,826769408,22848778240,22842826752,5951488
r20260415-nixos-extra-150730+podman+crun+priv+cg2-rollout-5-during,k1s,podman,crun,20260415-152029,293626,293626,293626,83750,0,209876,0,30191616,0,826757120,22814892032,22846431232,31539200
r20260415-nixos-extra-150730+podman+crun+priv+cg2-rollout-5-post,k1s,podman,crun,20260415-152116,290538,290538,290538,83754,0,206784,0,75489280,0,827027456,22814232576,22816296960,2064384
r20260415-nixos-extra-150730+docker+runc+k1nd-idle,k1s,docker,runc,20260415-152214,137495,137495,137495,91712,44548,1235,0,0,88608768,842616832,22758518784,22778994688,20475904
r20260415-nixos-extra-150730+docker+runc+k1nd-pods-1,k1s,docker,runc,20260415-152247,137706,137706,137706,91924,44548,1234,0,18800640,88776704,842354688,22638055424,22750347264,112291840
r20260415-nixos-extra-150730+docker+runc+k1nd-pods-5,k1s,docker,runc,20260415-152321,137681,137681,137681,91900,44548,1233,0,94015488,88883200,842096640,22573158400,22654558208,81399808
