procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27816340 7141300 17820196    0    0    62   783 2679    4  1  1 98  0  0  0
 1  0      0 27761984 7141300 17811328    0    0     0  7928 9456 23269  4  3 92  1  0  0
 0  0      0 27682416 7141300 17815956    0    0     0 13068 16505 43949  7  4 88  1  0  0
 0  0      0 27537008 7141300 17824004    0    0     0 19196 19359 46392 10  6 83  1  0  0
 0  0      0 27521096 7141300 17818244    0    0     0  8328 10036 23217  5  3 91  1  0  0
 1  0      0 27520828 7141300 17772972    0    0     0     0 1846 3067  0  0 99  0  0  0
 0  0      0 27491232 7141300 17818168    0    0     0  2532 3388 7763  1  1 98  0  0  0
 0  0      0 27527432 7141300 17818024    0    0     0     0 1085 1197  0  0 99  0  0  0
 0  0      0 27541276 7141300 17817696    0    0     0     0 1765 4060  1  1 98  0  0  0
 0  0      0 27591072 7141300 17772964    0    0     0  1936  753  956  0  0 100  0  0  0
 0  0      0 27585356 7141300 17772964    0    0     0     4 1182 2094  0  1 99  0  0  0
 0  0      0 27550588 7141300 17817892    0    0     0  2404 2316 6692  1  1 98  0  0  0
 0  0      0 27618344 7141300 17772836    0    0     0     0  624  759  0  0 100  0  0  0
 0  0      0 27566712 7141300 17817820    0    0     0     0 1607 4045  0  1 98  0  0  0
 0  0      0 27628492 7141300 17772112    0    0     0  1584  955 1732  0  0 99  0  0  0
 0  0      0 27634308 7141300 17772080    0    0     0     0  868 1636  0  0 99  0  0  0
 0  0      0 27597220 7141300 17817200    0    0     0  2352 3312 7842  2  1 96  0  0  0
 0  0      0 27652196 7141300 17772148    0    0     0     0  755 1069  0  0 100  0  0  0
 0  0      0 27610976 7141300 17817700    0    0     0     8 1935 4521  1  1 98  0  0  0
 0  0      0 27659988 7141300 17772580    0    0     0  1656  644  892  0  0 100  0  0  0
 0  0      0 27657296 7141300 17772580    0    0     0     0  950 1784  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27615232 7141300 17817140    0    0     0   888 1429 3592  0  1 99  0  0  0
 0  0      0 27660296 7141300 17772072    0    0     0  1568 1489 3724  1  0 99  0  0  0
 0  0      0 27599844 7141300 17817180    0    0     0   208 1777 4002  1  1 98  0  0  0
 1  0      0 27649832 7141300 17772124    0    0     0     0  673  933  0  0 100  0  0  0
 1  0      0 27657752 7141300 17772124    0    0     0   132 1136 2031  0  1 99  0  0  0
 0  0      0 27624452 7141300 17816988    0    0     0   160 1213 2406  1  1 99  0  0  0
 1  0      0 27670896 7141300 17771936    0    0     0  2336 1846 4892  1  0 98  0  0  0
 0  0      0 27620052 7141300 17817120    0    0     0     4 1667 3836  1  1 98  0  0  0
 1  0      0 27666640 7141300 17772064    0    0     0     0  495  563  0  0 100  0  0  0
